Publication	taxa	pct of publications	pct of taxa
Bot. Mag. ad	5	26.54%	87.60%
Brenesia	5	26.56%	87.61%
Brit. Mus. (Nat. Hist.): Cat. Cainozoic Pl., Bembridge Flora	5	26.58%	87.62%
Brit. Mus. (Nat. Hist.): Cat. Meso. Pl.	5	26.59%	87.62%
Bull. African Succ. Pl. Soc.	5	26.61%	87.63%
Bull. Amer. Mus. Nat. Hist.	5	26.62%	87.64%
Bull. Bromeliad Soc.	5	26.64%	87.65%
Bull. Inst. Franç. Afrique Noire	5	26.66%	87.65%
Bull. Inst. Roy. Sci. Nat. Belgique	5	26.67%	87.66%
Bull. Sci. France Belgique	5	26.69%	87.67%
Bull. Soc. Franç. Microscop.	5	26.71%	87.68%
Bull. Soc. Natl. Hort. France ser.	5	26.72%	87.69%
Bull. Soc. Sci. Nat. Maroc	5	26.74%	87.69%
Bull. Soc. Vaud. Sci. Nat.	5	26.75%	87.70%
Cat.	5	26.77%	87.71%
Cat. African Pl.	5	26.79%	87.72%
Cat. Horto Bot. Bogor.	5	26.80%	87.72%
Cat. Pl. Marseille	5	26.82%	87.73%
Ceiba	5	26.84%	87.74%
Consp. Crit. Diat. Dan.	5	26.85%	87.75%
Contr. Palaeontol.	5	26.87%	87.75%
Contr. Queensland Herb.	5	26.88%	87.76%
Delect. Fl. Faun. Brasil. t.	5	26.90%	87.77%
Deutsch. Südpol.-Exped.	5	26.92%	87.78%
Dict. Sci. Nat. ed.	5	26.93%	87.79%
Diss. de Sagu	5	26.95%	87.79%
Distrib. Silur. Acritarchs	5	26.96%	87.80%
Dusenia	5	26.98%	87.81%
Eclog.	5	27.00%	87.82%
Enum. Pl. China Bor.	5	27.01%	87.82%
Essai Monogr. Hieracium	5	27.03%	87.83%
Études Terrain Houiller Commentry	5	27.05%	87.84%
Exped. Centr. Australia	5	27.06%	87.85%
Feuille Naturalistes	5	27.08%	87.85%
Fl. Deutsche Volk	5	27.09%	87.86%
Fl. Foss. Oölith.	5	27.11%	87.87%
Fl. Franciscana	5	27.13%	87.88%
Fl. Friburg.	5	27.14%	87.89%
Fl. Gén. Environs Paris	5	27.16%	87.89%
Fl. Hawaiian Isl.	5	27.18%	87.90%
Fl. Ins. Austral. Prodr.	5	27.19%	87.91%
Fl. Libycae Spec.	5	27.21%	87.92%
Fl. Mauritius	5	27.22%	87.92%
Fl. Nouv.-Calédonie	5	27.24%	87.93%
Fl. Sver. Odl. Vext. Suppl.	5	27.26%	87.94%
Fl. Tert. Ital.	5	27.27%	87.95%
Fl. W. Trop. Africa	5	27.29%	87.95%
Flechten Follmann	5	27.31%	87.96%
Foss. Fl. Jüngsten Steinkohlenformat. Rothliegenden	5	27.32%	87.97%
Fungi Rhenani	5	27.34%	87.98%
Gard. Bull. Straits Settlem. ser.	5	27.35%	87.99%
Gard. Mag. & Reg. Rural Domest. Improv.	5	27.37%	87.99%
Gatt. Foss. Pflanzen	5	27.39%	88.00%
Gramineae	5	27.40%	88.01%
Handb. Fl. Ceylon	5	27.42%	88.02%
Handb. Natürl. Pflanzensystems	5	27.43%	88.02%
Helgoländer Wiss. Meeresuntersuch.	5	27.45%	88.03%
Hickenia	5	27.47%	88.04%
Hist. Phys. Cuba, Bot. Pl. Vasc.	5	27.48%	88.05%
Icon. Bogor.	5	27.50%	88.05%
Icon. Fl. Europ.	5	27.52%	88.06%
Icon. Fl. German.	5	27.53%	88.07%
Icon. Jap. Algae	5	27.55%	88.08%
Icon. Lich. Univ.	5	27.56%	88.09%
Ill. Handb. Laubholzkunde	5	27.58%	88.09%
Ill. Indian Bot.	5	27.60%	88.10%
Index Sem. Horti Acad. Gotting.	5	27.61%	88.11%
Index Sem. Turic. [4].	5	27.63%	88.12%
Introd. Crypt. Bot.	5	27.65%	88.12%
Izv. Akad. Nauk Estonsk. SSR, Ser. Biol.	5	27.66%	88.13%
Izvestkovye Vodorosli Stromatol.	5	27.68%	88.14%
J. Acad. Nat. Sci. Philadelphia ser.	5	27.69%	88.15%
J. Bot. (Morot) ser.	5	27.71%	88.16%
J. Fac. Agric. Hokkaido Univ.	5	27.73%	88.16%
J. Hist. Nat.	5	27.74%	88.17%
J. Invertebr. Pathol.	5	27.76%	88.18%
J. New York Bot. Gard.	5	27.78%	88.19%
J. Palynol.	5	27.79%	88.19%
J. Soc. Natl. Hort. France ser.	5	27.81%	88.20%
Jaarb. Mijnwezen Ned.-Indië	5	27.82%	88.21%
Klotzschii Herb. Viv. Mycol.	5	27.84%	88.22%
Krasnye Vodorosli Dal'nevostochnykh Morej Rossii	5	27.86%	88.22%
Krypt.-Fl. Deutschl. ed.	5	27.87%	88.23%
Kunene-Sambesi Exped.	5	27.89%	88.24%
Lethaea Svecica	5	27.90%	88.25%
Liste Pl. Grasses Sauf Cactées	5	27.92%	88.26%
Med. Repos.	5	27.94%	88.26%
Meded. Geol. Stichting ser.	5	27.95%	88.27%
Mém. Acad. Roy. Sci. Lyon, Sect. Sci.	5	27.97%	88.28%
Mem. Ist. Veneto	5	27.99%	88.29%
Mem. Natl. Res. Inst. Geol.	5	28.00%	88.29%
Mém. Sav. Étr. Acad. St.-Pétersbourg	5	28.02%	88.30%
Meth. Pl.	5	28.03%	88.31%
Monogr. Narciss.	5	28.05%	88.32%
Mykol. Hefte	5	28.07%	88.32%
Mykologia	5	28.08%	88.33%
Nachr. Königl. Ges. Wiss. Georg-Augusts-Univ.	5	28.10%	88.34%
Nachtr. Paläoz. Fl. Spitzenb.	5	28.12%	88.35%
Narr. Exped. Zaire	5	28.13%	88.36%
Narr. Travels Africa	5	28.15%	88.36%
Nasa Conquest S. Amer. Syst. Rearrangements Loasaceae	5	28.16%	88.37%
Ned. Kruidk. Arch. ser.	5	28.18%	88.38%
Niederrhein.-Westfäl. Steinkohlen-Gebirge	5	28.20%	88.39%
Nom. Bot. ed.	5	28.21%	88.39%
Nomencl. Algarum	5	28.23%	88.40%
Norges Svalbard- Ishavs-Undersøk. Skr.	5	28.25%	88.41%
Notas Comun. Inst. Geol. España	5	28.26%	88.42%
Nov. Gen. Sp.	5	28.28%	88.42%
Nov. Stirp. Brasil. Decades	5	28.29%	88.43%
Novye Dan. Geol. Biostratigr. Paleontol. Ural.	5	28.31%	88.44%
Novye Vidy Iskop. Fauny Fl. Tadzhikistan.	5	28.33%	88.45%
Occas. Pap. Bernice P. Bishop Mus.	5	28.34%	88.46%
Orchid Digest	5	28.36%	88.46%
Orchid J.	5	28.37%	88.47%
Orchid Weekly	5	28.39%	88.48%
Orchis	5	28.41%	88.49%
Palaeontographica, Suppl.	5	28.42%	88.49%
Palaeontol. Afr.	5	28.44%	88.50%
Palaeontol. Z.	5	28.46%	88.51%
Paleontol. Rossii, Drevn. Period	5	28.47%	88.52%
Philos. Mag. J.	5	28.49%	88.52%
Physiogr. Sälsk. Handl.	5	28.50%	88.53%
Piante Foss. Terz. Vicentino	5	28.52%	88.54%
Pilze	5	28.54%	88.55%
Pl. Rar. Africanae	5	28.55%	88.56%
Pl. Surinam.	5	28.57%	88.56%
Probl. Silur.	5	28.59%	88.57%
Proc. Geol. Assoc. Canada	5	28.60%	88.58%
Proc. Ned. Akad. Wetensch. Ser. C.	5	28.62%	88.59%
Proc. Symp. Calc. Nannofoss. (Houston)	5	28.63%	88.59%
Prodr. Monogr. Scitam.	5	28.65%	88.60%
Prodr. Pl. Indiae Occid. xiv,	5	28.67%	88.61%
Publ. Exposit. Universelle Paris	5	28.68%	88.62%
Quart. J. Microscop. Sci.	5	28.70%	88.62%
Quart. J. Microscop. Sci. ser.	5	28.71%	88.63%
Rec. Geol. Surv. India	5	28.73%	88.64%
Reise Fregatte Novara Bot.	5	28.75%	88.65%
Rep. Brit. Assoc. Advancem. Sci.	5	28.76%	88.66%
Rep. Explor. Railroad Pacific Ocean ed.	5	28.78%	88.66%
Rep. Sci. Exped. N.-W. China Publ.	5	28.80%	88.67%
Rep. Tottori Mycol. Inst.	5	28.81%	88.68%
Rev. Fac. Sci. Univ. Istanbul	5	28.83%	88.69%
Revision N. Amer. Umbellif.	5	28.84%	88.69%
Revista Chilena Hist. Nat.	5	28.86%	88.70%
Revista Fac. Agron. Univ. Nac. La Plata	5	28.88%	88.71%
Revista Mus. La Plata, Secc. Paleontol. ser.	5	28.89%	88.72%
Rivista Patol. Veg., Pavia ser.	5	28.91%	88.72%
Rozpr. Spraw. Posiedzen Wydz. Mat.-Przyr. Akad. Umiejętn.	5	28.93%	88.73%
S. Sci. Rec.	5	28.94%	88.74%
Sabouraudia	5	28.96%	88.75%
Saggio Class. Nat. Ficee	5	28.97%	88.76%
Schizzo Geogn.	5	28.99%	88.76%
Sci. Pap. Inst. Algol. Res. Fac. Sci. Hokkaido Imp. Univ.	5	29.01%	88.77%
Scott. Cryptog. Fl. t.	5	29.02%	88.78%
Scott. Naturalist (Perth)	5	29.04%	88.79%
Second Geol. Surv. Pennsylvania Rep. Progress	5	29.06%	88.79%
Sfer. Ital.	5	29.07%	88.80%
Spory Pyl'ca Krasnocvetnyh Uglenosnyh Otloz. Permi Triasa Severo-Vostoka Evrop. Casti SSSR	5	29.09%	88.81%
Spraw. Komis. Fizjogr.	5	29.10%	88.82%
Steiermärk. Z. ser.	5	29.12%	88.82%
Stratigr. Paleontol. Uzbekistana	5	29.14%	88.83%
Stud. Bot. Cech.	5	29.15%	88.84%
Succulenta (Leeuwarden)	5	29.17%	88.85%
Sukkulentenkunde	5	29.18%	88.86%
Suppl. Pl. Succ.	5	29.20%	88.86%
Svenska Skogsvårds. Tidskr.	5	29.22%	88.87%
Sveriges Geol. Undersökn., Ser. C, Afh.	5	29.23%	88.88%
Syn. Fl. Jura Sept.	5	29.25%	88.89%
Syn. Musc. Eur. ed.	5	29.27%	88.89%
Syst. Algarum xxxii,	5	29.28%	88.90%
Syst. Pilze	5	29.30%	88.91%
Syst. Verzeichniss Ind. Archipel	5	29.31%	88.92%
Tent. Fl. German.	5	29.33%	88.92%
Traité Paléontol.	5	29.35%	88.93%
Trans. Acad. Sci. St. Louis	5	29.36%	88.94%
Trans. Geol. Soc. Glasgow	5	29.38%	88.95%
Trav. S. Africa	5	29.40%	88.96%
Trudy Imp. S.-Peterburgsk. Obsc. Estestvoisp., Vyp.	5	29.41%	88.96%
Trudy Nauchno-Issl. Inst. Geol. Arktiki	5	29.43%	88.97%
Trudy S.-Peterburgsk. Obsc. Estestvoisp.	5	29.44%	88.98%
Ucen. Zap. Gor'kovsk. Gosud. Univ.	5	29.46%	88.99%
Ueber Tanacet.	5	29.48%	88.99%
Univ. Kansas Paleontol. Contr. Art.	5	29.49%	89.00%
Upper Eocene Fl. Hordle (Monogr. Palaeontogr. Soc.)	5	29.51%	89.01%
Vellosia ed.	5	29.53%	89.02%
Venez. Orchids Ill.	5	29.54%	89.02%
Verh. Naturf. Ges. Basel	5	29.56%	89.03%
Verh. Natuurl. Gesch. Ned. Overz. Bezitt.	5	29.57%	89.04%
Verh. Schweiz. Naturf. Ges.	5	29.59%	89.05%
Verh. Vereins Beförd. Gartenbaues Königl. Preuss. Staaten	5	29.61%	89.06%
Veröff. Inst. Meeresforsch. Bremerhaven	5	29.62%	89.06%
Vestn. Král. Ceské Spolecn. Nauk, Tr. Mat.-Prir.	5	29.64%	89.07%
Watsonia	5	29.65%	89.08%
Wiss. Ergebn. Deutsch. Tiefsee-Exped. Valdivia	5	29.67%	89.09%
Wiss. Meeresuntersuch. ser.	5	29.69%	89.09%
Wochenschr. Vereines Beförd. Gartenbaues Königl. Preuss. Staaten	5	29.70%	89.10%
Z. Bot.	5	29.72%	89.11%
Zap. Ural'sk. Obsc. Ljubit. Estestv.	5	29.74%	89.12%
Zentralbl. Geol. Inst. Abh.	5	29.75%	89.12%
Ziva	5	29.77%	89.13%
Abh. Deutsch. Akad. Wiss. Berlin, Kl. Chem. Geol. Biol.	4	29.78%	89.14%
Abh. Deutsch. Akad. Wiss. Berlin, Kl. Math. Naturw.	4	29.80%	89.14%
Abh. K. K. Geol. Reichsanst. (Wien)	4	29.82%	89.15%
Acta Bot. Mex.	4	29.83%	89.16%
Acta Geol. Acad. Sci. Hung.	4	29.85%	89.16%
Acta Soc. Regiae Sci. Indo-Neêrl.	4	29.87%	89.17%
Actes Soc. Linn. Bordeaux, Sér. B	4	29.88%	89.18%
Agric. Univ. Wageningen Pap.	4	29.90%	89.18%
Algae Medit.	4	29.91%	89.19%
Algenfl. Mittl. Theiles Franken	4	29.93%	89.19%
Allionia	4	29.95%	89.20%
Anais Acad. Brasil. Ci.	4	29.96%	89.21%
Anais Reunião Sul-Amer. Bot.	4	29.98%	89.21%
Anales Mus. Nac. Chile	4	30.00%	89.22%
Analyse Fam.	4	30.01%	89.23%
Ann. École Natl. Agric. Montpellier ser.	4	30.03%	89.23%
Ann. Nat.	4	30.04%	89.24%
Ann. Natal Mus.	4	30.06%	89.24%
Ann. Soc. Géol. Belgique	4	30.08%	89.25%
Ann. Soc. Sci. Nat. Archéol. Toulon	4	30.09%	89.26%
Ann. Transvaal Mus.	4	30.11%	89.26%
Arbeiten Naturf. Vereins Riga	4	30.12%	89.27%
Arch. Hydrobiol.	4	30.14%	89.27%
Aroideae	4	30.16%	89.28%
Arq. Mus. Nac. Rio de Janeiro	4	30.17%	89.29%
Assoc. Franç. Avancem. Sci. Compt. Rend.	4	30.19%	89.29%
Atti Ist. Bot. 'Giovanni Briosi' ser.	4	30.21%	89.30%
Atti Reale Accad. Lincei, Rendiconti Cl. Sci. Fis. ser.	4	30.22%	89.31%
Austral. Orchids	4	30.24%	89.31%
Australasian Sarcanthinae	4	30.25%	89.32%
Beitr. Physiol. Morphol. Nieder. Organismen	4	30.27%	89.32%
Bijdr. Natuurk. Wetensch.	4	30.29%	89.33%
Bol. Agric. (São Paulo)	4	30.30%	89.34%
Bol. Inst. Nac. Invest. Agron.	4	30.32%	89.34%
Boll. Soc. Geol. Ital.	4	30.34%	89.35%
Bot. Mater. Inst. Sporov. Rast. Glavn. Bot. Sada RSFSR	4	30.35%	89.35%
Bot. Mex. Bound.	4	30.37%	89.36%
Bot. Reg. ad t.	4	30.38%	89.37%
Bot. Res. Acad. Sin.	4	30.40%	89.37%
Braunkohle	4	30.42%	89.38%
Brit. Mus. (Nat. Hist.): Lower Tert. Fl. S. England	4	30.43%	89.39%
Brit. Stem Leaf Fungi	4	30.45%	89.39%
Bull. Dép. Agric. Indes Néerl.	4	30.47%	89.40%
Bull. Geol. Surv. Chosen	4	30.48%	89.40%
Bull. Inst. Geol., Chin. Acad. Geol. Sci.	4	30.50%	89.41%
Bull. Niigata Coll. Pharm.	4	30.51%	89.42%
Bull. Sect. Sci. Acad. Roumaine	4	30.53%	89.42%
Bull. Soc. Linn. Provence	4	30.55%	89.43%
Bull. Trimest. Soc. Mycol. Fr.	4	30.56%	89.43%
Byull. Moskovsk. Obshch. Isp. Prir., Otd. Geol.	4	30.58%	89.44%
Cact. Gen. Nova	4	30.59%	89.45%
Cact. Succ. J. (U.S.)	4	30.61%	89.45%
Cat. Horti Monspel.	4	30.63%	89.46%
Cat. Orto Bot. Napoli	4	30.64%	89.47%
Cat. Pl. Bombay	4	30.66%	89.47%
Choix ad t.	4	30.68%	89.48%
Ciencia (Mexico)	4	30.69%	89.48%
Coccolithes Rouen	4	30.71%	89.49%
Commentat. Bot.	4	30.72%	89.50%
Commiss. Estud. Minas Carvão Pedra Brazil, Relat. Final	4	30.74%	89.50%
Comun. Mus. Nac. Buenos Aires	4	30.76%	89.51%
Contr. Arnold Arbor.	4	30.77%	89.51%
Contr. Fl. Cryptog. Asiae Boreali-Orient.	4	30.79%	89.52%
Contr. Flore Fossile Portugal	4	30.81%	89.53%
Contr. Mus. Paleontol. Univ. Michigan	4	30.82%	89.53%
Contr. New South Wales Natl. Herb.	4	30.84%	89.54%
Cryptog. Algol.	4	30.85%	89.55%
Dematiaceous Hyphomycetes	4	30.87%	89.55%
Descr. Gram. Gallia German.	4	30.89%	89.56%
Descript. Papuan Pl.	4	30.90%	89.56%
Descript. Pl. Nouv. Jard. Cels ad t.	4	30.92%	89.57%
Deutschl. Fl.	4	30.94%	89.58%
Diat. Monde Entier ed.	4	30.95%	89.58%
Dict. Bot.	4	30.97%	89.59%
Diss. Inst. Bot. Syst. Univ. Budapest.	4	30.98%	89.59%
Doc. Nat.	4	31.00%	89.60%
Earth Sci.	4	31.02%	89.61%
Entolomatoid Fungi of the Western United States and Alaska	4	31.03%	89.61%
Ergebn. Plankt.-Exped. Humboldt-Stiftung IV. N:	4	31.05%	89.62%
Erlanger Geol. Abh.	4	31.06%	89.63%
Étude Mucorinées Thèse	4	31.08%	89.63%
Fasc. Pl.	4	31.10%	89.64%
Fauna et Flora Golfes Neapel	4	31.11%	89.64%
Festschr.	4	31.13%	89.65%
Fishery Invest., London ser.	4	31.15%	89.66%
Fl. Antilles	4	31.16%	89.66%
Fl. Australas.	4	31.18%	89.67%
Fl. Badensis	4	31.19%	89.67%
Fl. Berol.	4	31.21%	89.68%
Fl. Brasil. Enum.	4	31.23%	89.69%
Fl. Compl. Plaine Franç.	4	31.24%	89.69%
Fl. Dalmatica	4	31.26%	89.70%
Fl. Gabon	4	31.28%	89.71%
Fl. Helv.	4	31.29%	89.71%
Fl. Jamaica	4	31.31%	89.72%
Fl. Kouy-Tchéou	4	31.32%	89.72%
Fl. Males., Ser.	4	31.34%	89.73%
Fl. N. Terr.	4	31.36%	89.74%
Fl. Pedemont.	4	31.37%	89.74%
Fl. Reipubl. Popul. Sin.	4	31.39%	89.75%
Fl. Sarmat. Stufe Ungarn	4	31.40%	89.75%
Fl. Satsum.	4	31.42%	89.76%
Fl. Sicula	4	31.44%	89.77%
Fl. Statu Foss. Commentat.	4	31.45%	89.77%
Fl. Suecica	4	31.47%	89.78%
Fl. Tasmaniae	4	31.49%	89.79%
Flechten Europas	4	31.50%	89.79%
Folia Geobot. Phytotax. (Praha)	4	31.52%	89.80%
Förh. Skand. Naturf. Möte	4	31.53%	89.80%
Foss. Fl. Grenzschichten Keupers Lias Frankens	4	31.55%	89.81%
Fragm. Bot. Ill.	4	31.57%	89.82%
Fragm. Syn. Phan.	4	31.58%	89.82%
Gard. & Forest	4	31.60%	89.83%
Gard. Bull. Singapore	4	31.62%	89.83%
Gartenstauden	4	31.63%	89.84%
Gen. Musc. Frond.	4	31.65%	89.85%
Gen. Pl. Umbellif. ed.	4	31.66%	89.85%
Gen. Umbellif.	4	31.68%	89.86%
Genera File Fossil Spores Suppl.	4	31.70%	89.87%
Geol. Romana	4	31.71%	89.87%
Geosci. J.	4	31.73%	89.88%
Gesch. Litt. Lichenol.	4	31.75%	89.88%
Getr. Darstellung Arzneik. Gewächse	4	31.76%	89.89%
Grana Palynol. ser.	4	31.78%	89.90%
Hamburger Garten-Blumenzeitung	4	31.79%	89.90%
Handb. Brit. Mosses	4	31.81%	89.91%
Harriman Alaska Exped.	4	31.83%	89.91%
Haupt- und Nebenfruchtformen Askomyzeten	4	31.84%	89.92%
Hepat. Anthocerotae N. Amer.	4	31.86%	89.93%
Hist. Brit. Freshwater Algae	4	31.87%	89.93%
Hist. Conferves	4	31.89%	89.94%
Hist. Jamaica	4	31.91%	89.95%
Hist. Pl. Orchidées	4	31.92%	89.95%
Hoftüpfel Rezent. Fossil. Konif. [4].	4	31.94%	89.96%
Hong. Exót.	4	31.96%	89.96%
Hort. Bogor. Descr.	4	31.97%	89.97%
Icon. Pl. Rar.	4	31.99%	89.98%
Icon. Select. Fungorum	4	32.00%	89.98%
Ill. Bot. Himalayan Mountains t.	4	32.02%	89.99%
Index Sem. Hortus Berol.	4	32.04%	89.99%
Inst.	4	32.05%	90.00%
Inst. Geol. Prace	4	32.07%	90.01%
Int. Checklist Bromeliad Hybrids	4	32.09%	90.01%
Iskopaemye Zvetkovye Rast. SSSR	4	32.10%	90.02%
Itin. Notes Pl. Khasyah (Posthum. Pap.)	4	32.12%	90.03%
Izv. Geol. Komiteta	4	32.13%	90.03%
Izv. Glavn. Bot. Sada SSSR	4	32.15%	90.04%
Izv. Imp. Obsc. Ljubit. Estestv. Moskovsk. Univ.	4	32.17%	90.04%
Izv. Imp. S.-Peterburgsk. Bot. Sada	4	32.18%	90.05%
Izv. Karel'sk. Kol'sk. Fil. Akad. Nauk SSSR	4	32.20%	90.06%
J. Adelaide Bot. Gard.	4	32.22%	90.06%
J. Exped. Trop. Australia	4	32.23%	90.07%
J. Fac. Sci. Hokkaido Imp. Univ., Ser.	4	32.25%	90.07%
J. Palaeontol. Soc. India	4	32.26%	90.08%
J. Sci. Hiroshima Univ., Ser. B, Div.	4	32.28%	90.09%
Jahrb. Geol. Bundesanst.	4	32.30%	90.09%
Jahrb. Pract. Pharm. Verwandte Fächer	4	32.31%	90.10%
Jahrb. Vereins Naturk. Herzogth. Nassau	4	32.33%	90.11%
Jahresber. Schles. Ges. Vaterl. Cult.	4	32.34%	90.11%
Lagascalia	4	32.36%	90.12%
Laubmoosfl. Oesterr.-Ungarn	4	32.38%	90.12%
Leiden Bot. Ser.	4	32.39%	90.13%
Lich. Nov. Zel.	4	32.41%	90.14%
Lichenoth. Veneta	4	32.43%	90.14%
Malayan Orchid Rev.	4	32.44%	90.15%
Malpighiacearum Syn.	4	32.46%	90.15%
Manual Bot. ed.	4	32.47%	90.16%
Manual Brit. Lich.	4	32.49%	90.17%
Mater. Geol. Polezn. Iskop. Centr. Evrop. SSSR	4	32.51%	90.17%
Meded. Lands Plantentuin	4	32.52%	90.18%
Mém. Acad. Roy. Sci. Hist. (Berlin)	4	32.54%	90.19%
Mém. Acad. Sci. (Paris)	4	32.56%	90.19%
Mem. Boston Soc. Nat. Hist.	4	32.57%	90.20%
Mem. Geol. Surv. Gr. Brit., Palaeontol.	4	32.59%	90.20%
Mem. Geol. Surv. Victoria	4	32.60%	90.21%
Mém. Inst. Franç. Afrique Noire	4	32.62%	90.22%
Mem. Inst. Palaeontol. Acad. Sin.	4	32.64%	90.22%
Mém. Mus. Natl. Hist. Nat. ser.	4	32.65%	90.23%
Mem. Reale Accad. Sci. Torino, Cl. Sci. Fis. Mat. ser.	4	32.67%	90.23%
Mem. Reale Ist. Veneto Sci. Lett. Arti	4	32.69%	90.24%
Mém. Soc. Géol. France ser.	4	32.70%	90.25%
Mem. Soc. Sci. Lille ser.	4	32.72%	90.25%
Mém. Soc. Sci. Nat. Strasbourg	4	32.73%	90.26%
Micrographe Préparat.	4	32.75%	90.27%
Mikrobiol. Zurn.	4	32.77%	90.27%
Mikrofitofoss. Dokembriya Ukrainy	4	32.78%	90.28%
Mitth. Zool. Stat. Neapel	4	32.80%	90.28%
Monatsschr. Deutsch. Kakteen-Ges.	4	32.81%	90.29%
Monatsschr. Kakteenk.	4	32.83%	90.30%
Monde Pl.	4	32.85%	90.30%
Monthly Microscop. J.	4	32.86%	90.31%
Mycologist	4	32.88%	90.31%
Mykol. Untersuch. Tropen	4	32.90%	90.32%
N. Amer. Cup-Fungi (Inoperculates)	4	32.91%	90.33%
Nachtr. Vollst. Lex. Gaertn. Bot.	4	32.93%	90.33%
Narr. Journey Polar Sea App.	4	32.94%	90.34%
Nat. Kieselhölzer	4	32.96%	90.35%
Neues Mag. Aerzte	4	32.98%	90.35%
Neues Mag. Bot.	4	32.99%	90.36%
Novi Provent.	4	33.01%	90.36%
Novosti Paleontol. Stratigr., Prilozh. Geol. & Geofiz.	4	33.03%	90.37%
Num. List	4	33.04%	90.38%
Oekon. Neuigk. Verh.	4	33.06%	90.38%
Öfvers. Förh. Finska Vetensk.-Soc.	4	33.07%	90.39%
On Cephalozia	4	33.09%	90.40%
Outline Geol. Neighbourh. Cheltenham	4	33.11%	90.40%
Pakistan J. Bot.	4	33.12%	90.41%
Palaeontogr. Soc. [Monogr.]	4	33.14%	90.41%
Paleofloristika Stratigr. Fanerozoja	4	33.16%	90.42%
Paleontol. Paraná	4	33.17%	90.43%
Paleontol. Stratigr. Verhn. Dokembr. Nizhn. Paleoz. Jugo-Zap. Vost.-Evrop. Platf.	4	33.19%	90.43%
Paleontol. Verkhnedokembr. Kembr. Otlozh. Vost.-Evrop. Platf. [1]:	4	33.20%	90.44%
Palinologia (1 Coloquia Internac. Palinol. León	4	33.22%	90.44%
Palynology	4	33.24%	90.45%
Parasitology	4	33.25%	90.46%
Phytogr. Fl. Arfak Mount.	4	33.27%	90.46%
Pl. Cryptog.	4	33.28%	90.47%
Pl. Icon. Ined.	4	33.30%	90.48%
Pl. Rar. Horti Acad. Monac. t.	4	33.32%	90.48%
Pl. Wilsonae	4	33.33%	90.49%
Planta	4	33.35%	90.49%
Préc. Découv. Trav. Somiol.	4	33.37%	90.50%
Précis Découv. Somiol.	4	33.38%	90.51%
Prelim. Polypore Fl. E. Africa	4	33.40%	90.51%
Proc. Natl. Inst. Sci. India, B, Biol. Sci.	4	33.41%	90.52%
Profess. Pap. Stratigr. Palaeontol.	4	33.43%	90.52%
Protistologica	4	33.45%	90.53%
Pterocymbium	4	33.46%	90.54%
Publ. Assoc. Étude Paléontol.	4	33.48%	90.54%
Publ. Assoc. Étude Paléontol. Stratigr. Houillères	4	33.50%	90.55%
Publ. Serv. Géol. Luxembourg	4	33.51%	90.56%
Pyrenom. German.	4	33.53%	90.56%
Rannemel. Fl. Juzn. Primor'ja	4	33.54%	90.57%
Rec. Australian Mus.	4	33.56%	90.57%
Reise Oesterr. Novara Bot.	4	33.58%	90.58%
Reise Russ. Reichs	4	33.59%	90.59%
Rep. Mining Surveyors Registrars (Victoria), Quarter Ended	4	33.61%	90.59%
Rep. Sci. Res. Voy. Challenger Bot.	4	33.63%	90.60%
Res. Adv. Calc. Algol. Microbiol. Carbonates	4	33.64%	90.60%
Rev. Bot. Recueil Mens.	4	33.66%	90.61%
Rickia	4	33.67%	90.62%
Rozpr. Ceskoslov. Akad. Ved	4	33.69%	90.62%
Schweiz. Z. Hydrol.	4	33.71%	90.63%
Sci. Bull. Kansas Univ.	4	33.72%	90.64%
Sci. Mem. Off. Med. Dept. Gov. India	4	33.74%	90.64%
Sci. Rep. Yokohama Natl. Univ., Sect.	4	33.75%	90.65%
Science ser.	4	33.77%	90.65%
Scroph. Ind.	4	33.79%	90.66%
Senckenberg. Biol.	4	33.80%	90.67%
Sitzungsber. Naturhist. Vereins Preuss. Rheinl. C	4	33.82%	90.67%
Sp. Hepat.	4	33.84%	90.68%
Spory Pyl'ca Jurskih Otlozenij Pogranicnyh Sloev Triasa Donbassa	4	33.85%	90.68%
Staatswirthsch. Vorles. Churpfälz. Phys.-Öcon. Ges.	4	33.87%	90.69%
Stratigr. Mezozoja Kajnozoja Srednej Sibiri	4	33.88%	90.70%
Stud. Morph. Syst. Laubm.	4	33.90%	90.70%
Studia Geol.	4	33.92%	90.71%
Succulent Parade	4	33.93%	90.72%
Syll.	4	33.95%	90.72%
Symmicta Lich.	4	33.97%	90.73%
Syn.	4	33.98%	90.73%
Syst. Bemerk.	4	34.00%	90.74%
Syst. Verzeichniss Pflanzen Erfurt	4	34.01%	90.75%
Tab. Comp. Gen. Fungorum	4	34.03%	90.75%
Tab. Exhib. Muscorum [3].	4	34.05%	90.76%
Tabl. Encycl.	4	34.06%	90.76%
Tabl. Encycl. t.	4	34.08%	90.77%
Tabl. Syn. Némazoaires [6] (Aperçu Hist. Nat.	4	34.09%	90.78%
Tabl. Syn. Némazoaires [8] (Aperçu Hist. Nat.	4	34.11%	90.78%
Tijdschr. Wis-Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch.	4	34.13%	90.79%
Tisia	4	34.14%	90.80%
Trop. Bryol.	4	34.16%	90.80%
Trudy Moskovsk. Obsc. Isp. Prir.	4	34.18%	90.81%
Trudy Sredne-Aziatsk. Gosud. Univ., Ser.	4	34.19%	90.81%
